Data taking started at   1664290927.6528 seconds (2022-09-27 11:02:07.652803)
Event     Delta Time     Absolute Time   min[V]   max[V]   Delay[us]   pulse size
  147      2169.9569   1664293097.6097  -0.1032   0.0032      2.1800      27.0984
  148      2171.4479   1664293099.1007  -0.1600   0.0032      7.7740      27.0472
  149      2192.6098   1664293120.2626  -0.1456   0.0040      1.2500      27.4808
  150      2206.4677   1664293134.1205  -0.1040   0.0032      5.2040      28.6224
  151      2239.9891   1664293167.6419  -0.1600   0.0032      6.5800      27.3536
  152      2249.8021   1664293177.4549  -0.0848   0.0032      0.9240      27.8360
  153      2255.5557   1664293183.2085  -0.1160   0.0032      0.8340      27.5592
  154      2268.6155   1664293196.2683  -0.1144   0.0032      1.7820      28.4936
  155      2273.9570   1664293201.6098  -0.0512   0.0032      2.0420      27.4424
  156      2318.4113   1664293246.0641  -0.0808   0.0032      4.5240      27.9832
  157      2375.0572   1664293302.7101  -0.1472   0.0032      2.0320      27.6064
  158      2404.7286   1664293332.3814  -0.1600   0.0032      2.9880      27.7368
  159      2418.5851   1664293346.2379  -0.1600   0.0032      1.1680      28.3776
  160      2425.9597   1664293353.6125  -0.1136   0.0032      1.5500      28.1600
  161      2433.1466   1664293360.7995  -0.0664   0.0032      1.1260      27.5224
  162      2455.3171   1664293382.9699  -0.1600   0.0032      2.2740      27.2944
  163      2490.4509   1664293418.1037  -0.0600   0.0032      2.4920      28.2168
  164      2519.2999   1664293446.9527  -0.1600   0.0032      4.1060      27.8768
  165      2537.8393   1664293465.4921  -0.1504   0.0032      2.3320      26.7320
  166      2554.9316   1664293482.5845  -0.1600   0.0032      3.9200      28.5696
  167      2557.4310   1664293485.0838  -0.1600   0.0032      6.3060      27.1848
  168      2562.9953   1664293490.6482  -0.0776   0.0032      3.0100      27.9288
  169      2568.3292   1664293495.9820  -0.1304   0.0032      1.4120      27.8920
  170      2580.5752   1664293508.2280  -0.1304   0.0032      4.7080      27.2864
  171      2581.2548   1664293508.9076  -0.1600   0.0040      0.9900      27.0696
  172      2602.0080   1664293529.6608  -0.1600   0.0032      4.3320      27.5240
  173      2609.1806   1664293536.8334  -0.1440   0.0032      3.0200      27.7864
  174      2610.8997   1664293538.5525  -0.1160   0.0032      0.5220      26.2984
  175      2634.8849   1664293562.5377  -0.1600   0.0032      8.2980      26.8632
  176      2649.7556   1664293577.4084  -0.1600   0.0040      1.9780      27.3088
  177      2668.0851   1664293595.7380  -0.1568   0.0032      2.4820      26.5464
  178      2682.3387   1664293609.9915  -0.1040   0.0032      1.2700      27.5944
  179      2693.5607   1664293621.2135  -0.0600   0.0032      3.4540      27.5496
  180      2697.4832   1664293625.1360  -0.1600   0.0040      0.6940      27.3424
  181      2752.4935   1664293680.1463  -0.1600   0.0032      5.9720      27.7936
  182      2756.6279   1664293684.2807  -0.1160   0.0032      1.7500      28.0344
  183      2763.7971   1664293691.4499  -0.1600   0.0032      6.8840      26.8312
  184      2779.2940   1664293706.9468  -0.1600   0.0032      8.9300      28.2672
  185      2799.6486   1664293727.3014  -0.1600   0.0040      0.7380      27.8224
  186      2819.1998   1664293746.8526  -0.1600   0.0032      1.3580      26.7640
  187      2822.5533   1664293750.2061  -0.1360   0.0032      0.5160      28.0440
  188      2851.8165   1664293779.4693  -0.0736   0.0032      1.8140      27.4080
  189      2852.7062   1664293780.3590  -0.1248   0.0032      1.1480      27.9816
  190      2857.0376   1664293784.6904  -0.1600   0.0032      2.9900      27.8376
  191      2867.0583   1664293794.7111  -0.1600   0.0032      6.5260      26.9592
  192      2879.4982   1664293807.1510  -0.0992   0.0032      3.4700      27.7056
  193      2880.5911   1664293808.2439  -0.1208   0.0032      0.5360      27.8752
  194      2898.9343   1664293826.5871  -0.1600   0.0040      2.3840      27.0496
  195      2936.5335   1664293864.1863  -0.1304   0.0032      1.8320      28.4896
  196      2945.3187   1664293872.9715  -0.1600   0.0032      2.1820      27.5160
  197      2960.2019   1664293887.8547  -0.1600   0.0040      2.1500      27.5776
  198      3007.5159   1664293935.1687  -0.0736   0.0032      3.0740      28.3216
  199      3084.4324   1664294012.0852  -0.1280   0.0032      1.1720      27.6328
  200      3098.5067   1664294026.1595  -0.1336   0.0032      4.3840      27.7976
  201      3113.3731   1664294041.0259  -0.1432   0.0032      0.8840      27.1648
  202      3125.2075   1664294052.8603  -0.1600   0.0032      1.0680      27.0792
  203      3172.9381   1664294100.5909  -0.1600   0.0032      1.7960      26.7128
  204      3173.6179   1664294101.2707  -0.0464   0.0032      5.0600      28.7648
  205      3188.0854   1664294115.7382  -0.1424   0.0032      0.8320      28.0344
  206      3195.4863   1664294123.1391  -0.1520   0.0032      0.6660      28.8680
  207      3205.7095   1664294133.3623  -0.1504   0.0032      5.1340      26.9272
  208      3211.8783   1664294139.5311  -0.1600   0.0040      1.4380      27.7304
  209      3221.4669   1664294149.1198  -0.0808   0.0032      2.1680      28.5648
  210      3236.1453   1664294163.7981  -0.0712   0.0032      2.4940      28.6016
  211      3239.2770   1664294166.9298  -0.1600   0.0040      1.1860      26.6112
  212      3257.6006   1664294185.2534  -0.0768   0.0032      3.3180      27.4408
  213      3329.6297   1664294257.2825  -0.1560   0.0032      2.6760      27.9800
  214      3353.4147   1664294281.0675  -0.1080   0.0032      4.7700      28.2824
  215      3393.0360   1664294320.6888  -0.1600   0.0032      1.5940      28.4520
  216      3402.6256   1664294330.2784  -0.1600   0.0040      1.4100      27.1280
  217      3410.8196   1664294338.4724  -0.1600   0.0040      2.4400      28.3344
  218      3424.4897   1664294352.1425  -0.1600   0.0040      2.0960      27.7568
  219      3492.4636   1664294420.1164  -0.1496   0.0032     11.1840      27.4336
  220      3496.3969   1664294424.0497  -0.1600   0.0032      5.0980      27.9072
  221      3529.1182   1664294456.7710  -0.0848   0.0032      2.5020      27.9984
  222      3535.2748   1664294462.9276  -0.0864   0.0032      1.3520      28.6520
  223      3542.4368   1664294470.0896  -0.0960   0.0032      0.7780      28.0904
  224      3550.2392   1664294477.8920  -0.1600   0.0040      1.6840      28.7784
  225      3551.5251   1664294479.1779  -0.1256   0.0032      1.5600      27.2992
  226      3587.6731   1664294515.3259  -0.1600   0.0032      2.0080      27.4016
  227      3610.2550   1664294537.9078  -0.0328   0.0032      2.1240      29.2776
  228      3613.3617   1664294541.0145  -0.1440   0.0032      0.9680      27.6808
  229      3634.1063   1664294561.7591  -0.0832   0.0032      2.8960      27.9424
  230      3642.0876   1664294569.7404  -0.0536   0.0032      6.0700      28.5480
  231      3658.3712   1664294586.0240  -0.1080   0.0032      3.2080      28.2816
  232      3673.8548   1664294601.5077  -0.1088   0.0032      0.6920      28.1976
  233      3696.2317   1664294623.8845  -0.0392   0.0032      1.6180      28.7712
