Data taking started at   1664294842.0286 seconds (2022-09-27 12:07:22.028607)
Event     Delta Time     Absolute Time   min[V]   max[V]   Delay[us]   pulse size
  175      2808.8731   1664297650.9017  -0.1456   0.0032      4.9420      28.2712
  176      2810.1537   1664297652.1823  -0.0632   0.0032      2.3660      28.4648
  177      2844.9096   1664297686.9382  -0.1288   0.0032      0.6360      27.3424
  178      2847.2048   1664297689.2334  -0.1016   0.0032      2.0140      27.9576
  179      2848.0949   1664297690.1235  -0.1456   0.0032      1.3480      28.1208
  180      2868.0395   1664297710.0681  -0.1448   0.0032      3.8940      28.1408
  181      2896.6800   1664297738.7086  -0.1280   0.0032      5.8880      27.4624
  182      2943.3848   1664297785.4134  -0.1088   0.0032      3.7100      27.0136
  183      2969.8209   1664297811.8496  -0.1072   0.0032      0.9540      28.1728
  184      2974.1591   1664297816.1877  -0.1016   0.0032      0.5160      28.4648
  185      2976.0487   1664297818.0773  -0.1152   0.0032      0.5420      27.9032
  186      2983.6057   1664297825.6343  -0.0408   0.0032      0.9260      28.3672
  187      3023.0236   1664297865.0523  -0.1512   0.0032      2.0760      28.1128
  188      3061.0086   1664297903.0372  -0.0592   0.0032      0.8860      28.9328
  189      3063.3036   1664297905.3322  -0.0504   0.0032      0.9720      28.9520
  190      3086.4830   1664297928.5116  -0.1600   0.0032      1.3060      28.1712
  191      3089.1920   1664297931.2206  -0.1272   0.0032      4.8100      27.6392
  192      3122.0923   1664297964.1209  -0.1328   0.0032      0.6260      27.6272
  193      3180.5551   1664298022.5837  -0.0992   0.0032      3.5900      29.0176
  194      3180.7948   1664298022.8234  -0.0784   0.0032      3.2560      28.4344
  195      3185.3327   1664298027.3613  -0.1056   0.0032      6.2640      29.1864
  196      3189.8455   1664298031.8741  -0.0464   0.0032      3.5860      29.6952
  197      3249.3179   1664298091.3466  -0.1600   0.0040      0.8800      28.7344
  198      3281.4354   1664298123.4641  -0.0688   0.0032      9.5520      29.0024
  199      3293.0741   1664298135.1027  -0.1528   0.0032      1.7680      29.2504
  200      3303.8893   1664298145.9179  -0.0584   0.0032      1.1760      28.6448
  201      3347.3393   1664298189.3679  -0.1440   0.0032      1.2320      28.0400
  202      3357.7352   1664298199.7638  -0.1288   0.0032      8.7360      27.2400
  203      3359.8378   1664298201.8665  -0.1592   0.0032      1.6480      28.3560
  204      3373.0988   1664298215.1274  -0.1048   0.0032      1.7660      28.2504
  205      3381.4856   1664298223.5143  -0.1600   0.0032      2.4400      26.8520
  206      3394.9356   1664298236.9642  -0.1264   0.0032      1.9800      27.7528
  207      3466.3761   1664298308.4047  -0.0776   0.0032      1.2840      29.0280
  208      3524.8302   1664298366.8588  -0.1600   0.0032      3.9220      28.1272
  209      3526.3189   1664298368.3475  -0.1416   0.0032      1.7320      28.2488
  210      3531.2567   1664298373.2853  -0.0624   0.0032      1.4600      28.6480
  211      3534.9849   1664298377.0135  -0.1560   0.0032      1.5740      28.8784
  212      3535.6650   1664298377.6936  -0.1600   0.0032      0.5180      28.4056
  213      3546.2810   1664298388.3096  -0.1600   0.0088      0.6700      38.7792
  214      3563.8138   1664298405.8424  -0.1600   0.0040      0.6700      27.5896
  215      3566.3374   1664298408.3660  -0.0632   0.0032      3.8140      28.9152
  216      3568.0265   1664298410.0551  -0.1600   0.0032      1.3500      27.8944
  217      3575.6041   1664298417.6327  -0.1224   0.0032      1.6020      26.8736
  218      3576.0643   1664298418.0929  -0.1600   0.0032      6.9440      27.9296
  219      3615.6815   1664298457.7101  -0.0912   0.0032      2.3620      28.3272
  220      3627.3183   1664298469.3469  -0.0888   0.0032      3.2280      28.3448
